File name;sequence;time parsed;rows inserted
/2014-2H/equity/equityfeed_2014.xml;4;16.03.2015 18:53;13131
/2014-2H/fond/1980/fund_adj_factors.txt;6;16.03.2015 20:00;9
/2014-2H/fond/1980/fund_dividends.txt;6;16.03.2015 20:00;98
/2014-2H/fond/1980/fund_prices.txt;6;16.03.2015 20:01;31488
/2014-2H/fond/1980/funds.txt;6;16.03.2015 20:01;143
/2014-2H/fond/1990/fund_adj_factors.txt;7;16.03.2015 20:01;45
/2014-2H/fond/1990/fund_dividends.txt;7;16.03.2015 20:01;1499
/2014-2H/fond/1990/fund_prices.txt;7;16.03.2015 20:39;937265
/2014-2H/fond/1990/funds.txt;7;16.03.2015 20:39;1161
/2014-2H/fond/2000/fund_adj_factors.txt;8;16.03.2015 20:39;20
/2014-2H/fond/2000/fund_dividends.txt;8;16.03.2015 20:39;314
/2014-2H/fond/2000/fund_prices.txt;8;16.03.2015 20:52;244723
/2014-2H/fond/2000/funds.txt;8;16.03.2015 20:52;1228
/2014-2H/fond/2000/funds.txt;8;17.03.2015 12:49;1228
/2014-2H/fond/2001/fund_adj_factors.txt;9;17.03.2015 12:49;1
/2014-2H/fond/2001/fund_dividends.txt;9;17.03.2015 12:49;275
/2014-2H/fond/2001/fund_dividends.txt;9;17.03.2015 13:31;275
/2014-2H/fond/2001/fund_prices.txt;9;17.03.2015 13:41;314357
/2014-2H/fond/2001/funds.txt;9;17.03.2015 13:41;1528
/2014-2H/fond/2002/fund_adj_factors.txt;10;17.03.2015 13:41;0
/2014-2H/fond/2002/fund_dividends.txt;10;17.03.2015 13:41;340
/2014-2H/fond/2002/fund_prices.txt;10;17.03.2015 13:57;384377
/2014-2H/fond/2002/funds.txt;10;17.03.2015 13:57;1773
/2014-2H/fond/2003/fund_adj_factors.txt;11;17.03.2015 13:57;1
/2014-2H/fond/2003/fund_dividends.txt;11;17.03.2015 13:57;1709
/2014-2H/fond/2003/fund_prices.txt;11;17.03.2015 14:13;401982
/2014-2H/fond/2003/funds.txt;11;17.03.2015 14:13;1816
/2014-2H/fond/2004/fund_adj_factors.txt;12;17.03.2015 14:13;5
/2014-2H/fond/2004/fund_dividends.txt;12;17.03.2015 14:13;1938
/2014-2H/fond/2004/fund_prices.txt;12;17.03.2015 14:29;407150
/2014-2H/fond/2004/funds.txt;12;17.03.2015 14:29;1777
/2014-2H/fond/2005/fund_adj_factors.txt;13;17.03.2015 14:29;3
/2014-2H/fond/2005/fund_dividends.txt;13;17.03.2015 14:29;2465
/2014-2H/fond/2005/fund_prices.txt;13;17.03.2015 14:45;406506
/2014-2H/fond/2005/funds.txt;13;17.03.2015 14:46;1840
/2014-2H/fond/2006/fund_adj_factors.txt;14;17.03.2015 14:46;8
/2014-2H/fond/2006/fund_dividends.txt;14;17.03.2015 14:46;2609
/2014-2H/fond/2006/fund_prices.txt;14;17.03.2015 15:03;457953
/2014-2H/fond/2006/funds.txt;14;17.03.2015 15:03;2235
/2014-2H/fond/2007/fund_adj_factors.txt;15;17.03.2015 15:03;0
/2014-2H/fond/2007/fund_dividends.txt;15;17.03.2015 15:03;1960
/2014-2H/fond/2007/fund_prices.txt;15;17.03.2015 15:21;504759
